step	post	like	prior	mu1	mu2	gamma	pi	spa1	spa2	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
53500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.504778142732124	0.000182860669004	0.000053278333790	0.291360269436080	0.134943176808457	0.000000000000000	0.000000000000000	-1	-4	-5	-2	3	-3	-3	-1	4	6	-1	0	-2	-4	2	-5	3	4	4	-2	-1	-3	4	-4	1	-1	7	2	2	8	-4	3	-1	1	0	12	3	2	14	1	-5	9	-1	6	1	-2	11	4	12	-2	-3	-2	18	-2	8	-6	-4	1	14	4	7	-4	-6	-3	2	-6	2	-1	16	1	13	5	10	-1	4	-4	-5	-3	3	-1	-3	1	-1	16	3	14	-6	2	6	-3	12	7	2	9	12	7	0	4	-4	-2	-2	2	6	4	-5	3	7	23	6	-6	-1	-1	4	-1	36	-4	104	85	65	0	10	0	62	101	3	29	74	72	111	15	40	50	83	65	88	40	25	70	40	114	26	88	86	88	87	21	113	73	26	16	95	97	8	54	37	8	38	97	3	14	95	60	6	24	67	76	65	31	81	95	37	15	97	68	54	82	1	5	102	11	63	78	85	101	22	68	9	73	51	14	25	106	74	18	7	61	28	19	19	105	103	82	94	14	74	66	95	10	67	62	84	3	66	97	1	44	19	92	106	63	12	14	0	108	60	0	46	116	61	51	0	94	3	3	4	1	6	1	2	13	1	10	5	7	12	1	11	12	6	10	10	8	13	3	13	15	4	1	7	2	7	5	4	13	7	3	6	7	13	3	8	13	5	6	10	14	5	5	2	8	3	15	18	2	17	11	14	6	9	8	13	10	9	6	10	17	9	15	2	10	15	17	15	13	16	11	16	8	13	10	3	14	19	13	3	10	17	6	5	10	8	1	16	16	17	17	1	4	17	14	17	4	3	18	20	1	15	13	1	11	5	1	1	4	10	6	1	2
54000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.515356025442586	0.000181699905345	0.000051674039352	0.284392219431937	0.128828963965825	0.000000000000000	0.000000000000000	0	0	-3	1	-3	-5	13	-4	7	1	3	4	4	4	-6	-6	-3	-2	2	-3	0	-2	-1	0	-3	19	-5	-1	13	0	-6	17	-3	2	8	5	-2	-3	7	8	5	17	3	3	2	2	0	3	3	0	-2	-5	0	3	-2	2	0	-2	9	10	-3	-3	-6	3	5	-1	19	-5	7	11	0	14	-5	-6	-5	4	-6	11	-6	14	3	4	6	-5	-2	2	15	1	-2	-6	-3	8	7	-5	8	-2	6	-1	-1	-1	11	-4	10	7	-3	9	26	26	11	14	8	-1	-1	4	6	6	99	105	71	0	68	0	79	48	91	6	28	28	41	92	76	105	46	2	101	94	14	79	83	8	82	6	88	106	109	2	40	42	12	77	74	111	11	116	28	78	16	88	12	41	2	77	10	36	88	74	43	90	109	82	83	98	41	48	53	3	52	51	86	28	12	29	22	83	29	114	96	114	42	98	51	62	21	61	40	9	69	112	97	5	19	3	82	103	87	115	95	91	91	25	74	90	48	51	60	50	104	89	99	30	4	14	0	108	48	0	102	50	38	64	0	50	1	4	5	1	3	1	10	13	6	6	4	11	12	10	3	12	3	10	8	9	2	4	11	15	10	2	9	8	10	1	11	8	11	5	3	9	1	2	2	13	7	3	4	14	7	1	6	4	4	15	18	5	17	6	5	7	10	10	9	10	9	8	6	17	13	15	10	13	15	17	15	4	16	8	16	7	9	12	2	14	19	7	5	10	17	7	1	13	9	8	16	16	17	17	3	1	17	14	17	7	10	18	20	3	7	15	1	11	10	1	7	4	1	10	1	3
54500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.494885832238896	0.000190297047580	0.000056760890378	0.298275202373798	0.118820715695446	0.000000000000000	0.000000000000000	-5	-6	-6	4	-6	-2	1	3	1	5	9	4	19	15	-3	-2	3	-2	0	-2	-6	-5	10	16	4	10	2	-4	5	0	-2	-1	13	6	1	3	10	4	6	10	0	2	4	-1	4	6	-6	-4	-4	1	5	4	0	9	-3	7	0	-6	10	19	-3	15	0	-6	6	7	9	1	4	6	5	-6	2	-1	6	-5	14	1	-1	1	2	-2	20	0	-4	7	5	-5	-4	3	-2	-2	14	10	14	1	7	-2	1	5	6	-2	1	6	6	-1	28	28	16	8	9	-4	-5	-2	9	-3	69	78	12	0	70	0	48	29	86	57	71	46	80	35	27	92	113	47	75	54	89	50	101	19	41	6	38	104	87	73	43	1	100	37	36	34	49	111	1	14	47	72	3	48	48	28	42	13	20	92	88	109	29	57	90	83	69	20	80	4	116	7	53	86	18	58	21	15	22	41	6	90	23	84	65	63	6	17	16	95	70	69	3	89	51	15	2	24	106	115	72	57	8	18	103	72	35	31	30	78	22	42	35	39	92	21	0	108	88	0	64	66	66	82	0	21	3	6	1	1	5	1	8	13	10	5	7	7	5	11	5	3	9	11	7	2	11	10	3	15	8	2	10	7	1	7	14	2	1	10	12	1	9	8	3	10	2	1	14	14	7	7	9	6	6	15	18	2	17	3	6	5	13	12	3	8	6	1	12	17	7	15	10	12	15	17	15	5	16	8	16	5	4	9	13	14	19	11	10	5	17	1	1	11	7	11	16	16	17	17	3	4	17	3	17	10	9	18	20	12	12	15	1	11	5	1	7	9	10	11	1	11
55000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.470132773640305	0.000180860377963	0.000057442819662	0.317608645458915	0.099938794695449	0.000000000000000	0.000000000000000	2	-4	-4	-3	6	5	-1	-2	3	4	3	-6	3	7	6	13	-6	7	0	1	-1	0	5	-6	12	9	-6	2	4	0	-5	-6	3	1	8	1	-5	21	-6	-1	-1	-1	2	2	-3	2	3	-6	12	2	-6	1	-1	18	-2	4	0	6	4	15	1	-5	2	6	6	2	8	0	-5	-5	-3	8	12	0	3	-3	3	-3	-4	0	-3	-6	2	1	-3	4	-3	-5	2	4	-6	-5	1	10	1	3	0	4	16	-4	-6	-5	2	-4	7	6	6	19	-5	-2	8	6	3	-4	37	7	114	66	27	0	103	0	106	8	50	49	106	13	13	90	36	9	110	103	83	60	87	33	85	68	65	17	46	98	103	31	104	11	114	71	52	31	56	89	13	30	25	67	2	101	66	59	37	104	109	44	90	10	25	88	5	95	29	4	28	14	11	14	28	37	82	46	59	81	65	70	13	46	45	21	104	91	63	93	68	70	114	57	68	22	75	43	86	64	53	40	76	75	55	36	27	52	20	78	70	28	72	91	66	33	41	59	0	108	69	0	14	63	106	10	0	31	6	2	1	1	7	1	6	10	1	4	7	5	11	11	12	4	12	6	1	11	1	5	9	15	2	13	9	5	10	3	14	13	11	4	12	8	5	10	9	10	11	3	10	14	2	3	12	10	3	15	18	1	17	9	13	7	9	11	5	11	5	10	12	17	7	15	5	12	15	17	15	7	16	14	16	9	8	9	6	14	19	1	1	2	17	8	8	11	1	16	16	16	17	17	6	10	17	1	17	14	8	18	20	8	2	15	1	11	1	1	1	11	10	3	1	11
55500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.536519866821364	0.000169732019949	0.000046097516976	0.271589986320936	0.115793236561219	0.000000000000000	0.000000000000000	0	-4	4	-1	1	-3	4	-4	-6	-2	2	-3	1	11	-3	-5	2	9	-3	5	13	2	2	4	17	5	8	-4	3	3	2	-4	5	14	4	6	0	0	-5	1	-2	5	3	-4	-2	3	-5	-3	3	4	-6	-2	-3	-1	19	15	10	8	-2	-3	-2	10	13	15	2	8	-4	12	-5	14	17	-1	-5	3	10	-6	6	2	1	-1	-4	10	7	-3	-1	-1	-2	10	-5	7	-4	-2	11	11	-3	-1	5	10	-4	-1	2	-4	-1	-2	2	11	26	-1	8	25	1	15	-2	-3	23	-5	113	74	54	0	105	0	29	7	89	68	56	55	32	30	116	93	85	24	96	47	55	33	104	61	71	49	12	49	6	50	79	105	33	4	99	49	30	4	9	26	61	11	68	18	5	12	4	92	71	70	29	30	106	29	21	65	69	78	69	20	90	68	105	100	83	105	39	57	30	68	44	51	94	81	70	22	39	12	30	61	61	55	114	51	29	12	30	12	50	110	24	88	84	69	72	60	27	8	91	4	100	89	22	31	80	93	0	55	62	0	98	87	1	13	0	60	1	6	3	1	2	1	5	12	2	7	2	4	3	8	12	2	10	3	4	11	11	7	5	15	4	8	5	8	12	9	6	13	12	2	12	7	10	2	1	10	9	6	14	6	8	8	13	2	1	7	13	4	17	2	1	3	4	1	4	8	9	8	12	17	8	14	13	12	14	17	15	2	16	14	16	5	7	2	9	15	19	1	8	8	17	9	14	3	9	16	16	16	17	17	9	12	17	10	17	5	13	18	20	12	16	15	1	11	10	1	1	4	1	2	1	11
56000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.582263842629889	0.000204086403096	0.000050612245654	0.247994206800040	0.100458324011192	0.000000000000000	0.000000000000000	-1	4	-2	3	2	-1	6	-3	-5	3	-4	1	7	5	-4	-1	2	7	-1	7	-5	15	8	2	-4	12	16	3	1	3	8	2	1	-1	1	11	10	9	-6	2	4	9	10	7	-3	-4	-4	1	6	-5	12	0	-4	-6	-3	0	-1	9	10	-6	-2	-6	5	-3	1	2	2	6	8	14	4	0	-3	-6	-6	8	6	3	1	-2	3	1	7	3	-1	4	4	0	5	-2	-3	1	-6	18	2	-2	3	1	1	-3	0	2	-3	-1	1	16	24	-4	-5	7	1	-3	-6	1	31	-3	101	87	109	0	2	0	15	21	57	93	31	69	23	49	101	97	14	20	41	66	85	58	44	19	39	25	94	101	93	76	81	76	86	11	84	20	14	92	77	111	24	53	50	24	54	14	93	21	82	99	53	96	64	14	6	85	4	58	45	64	46	16	55	20	27	1	71	23	26	65	78	101	15	7	101	36	95	103	111	91	4	84	83	48	90	52	23	3	105	2	72	50	3	44	91	24	86	80	52	72	79	12	2	28	3	104	0	76	49	0	25	51	74	35	0	24	1	1	2	1	3	1	11	2	11	1	2	10	9	5	2	1	8	7	10	11	1	10	9	15	4	3	7	11	11	2	4	13	12	6	12	4	10	10	4	7	11	5	3	3	12	9	13	2	4	3	13	7	17	10	6	11	9	11	8	11	10	10	12	17	11	14	7	13	14	17	15	6	16	14	16	1	10	1	16	15	19	11	11	12	17	4	14	1	1	13	16	2	17	17	8	7	17	7	17	5	13	18	20	12	16	15	1	13	7	1	3	6	12	4	1	2
56500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.511625703650797	0.000171234078009	0.000049110335447	0.286802346927665	0.109154269200418	0.000000000000000	0.000000000000000	0	9	3	2	-3	7	-3	8	8	10	-5	0	2	7	0	10	4	-6	-3	4	6	12	-4	10	-2	-3	8	-4	12	5	1	7	-3	-6	-2	4	-1	1	8	9	0	11	17	-6	2	3	15	-6	-2	9	14	-4	-5	7	-1	-3	-2	0	-4	1	0	0	6	16	15	-6	14	-3	-3	7	-4	0	-4	-4	0	-5	1	-3	5	-4	1	4	8	-2	0	14	3	6	3	-3	3	9	-6	3	0	3	-3	-1	-2	2	1	-5	6	1	3	-6	-5	-3	-1	19	-5	-3	0	-5	35	13	103	62	76	0	73	0	15	16	1	97	2	97	109	19	35	22	15	22	54	85	2	107	61	87	13	59	83	4	10	81	13	20	36	105	55	48	59	103	69	59	69	50	39	92	3	38	83	39	102	64	112	7	42	36	33	70	35	24	10	99	79	68	59	79	33	79	42	44	82	81	15	44	20	64	23	98	64	116	12	100	34	107	114	30	81	15	9	90	68	74	6	53	18	63	3	92	61	4	96	28	83	68	53	68	52	114	0	22	25	0	28	112	40	35	0	64	1	7	2	1	7	1	6	1	11	6	5	7	12	10	10	14	6	5	6	8	13	12	8	15	11	11	4	11	7	1	14	7	5	13	10	6	13	5	15	3	11	12	12	12	12	13	13	8	11	11	13	9	17	8	2	3	9	7	12	8	4	5	12	17	3	14	9	13	3	17	15	3	16	9	16	1	11	6	16	15	19	10	11	13	17	8	14	12	10	13	16	1	17	17	9	3	17	4	17	6	10	18	20	12	16	15	1	3	9	1	3	7	12	10	1	9
57000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.601863583593225	0.000170302917894	0.000040739342108	0.239216935398768	0.110070470536689	0.000000000000000	0.000000000000000	-2	-6	2	-3	-2	0	3	2	13	-3	-6	-4	7	6	6	3	5	13	4	5	-6	6	5	2	5	2	-1	-1	11	12	3	9	13	2	0	6	-2	-2	-6	3	-6	-2	15	5	2	5	1	-6	8	0	17	-4	-5	1	-6	-6	-5	4	-5	13	6	7	-1	3	8	1	0	9	3	15	13	8	-5	17	-6	9	-3	2	17	7	12	-3	-1	-2	-5	5	22	10	-4	-1	-6	4	7	-6	11	0	0	2	-5	-6	0	10	-3	-3	1	-3	19	11	5	24	7	12	5	10	27	-4	12	11	88	0	90	0	93	34	73	85	30	77	9	75	63	99	6	60	52	65	92	87	113	33	18	7	54	101	90	101	38	112	72	12	60	5	62	25	38	46	99	98	29	46	42	106	51	23	75	111	76	88	103	30	24	46	7	3	14	116	15	23	92	31	80	70	36	100	108	108	107	60	4	65	80	95	10	80	29	75	94	114	108	6	82	73	51	101	26	55	29	99	23	21	54	38	66	98	91	64	108	39	43	28	38	31	0	107	78	0	30	33	49	34	0	88	3	5	1	1	4	1	10	9	2	8	10	12	9	12	4	14	5	9	5	9	13	6	10	15	11	11	1	4	8	3	14	12	1	7	1	12	7	6	15	10	9	13	12	1	12	13	13	2	11	2	10	6	17	11	11	1	3	4	3	3	12	13	12	17	13	9	12	13	3	17	15	1	16	9	16	5	6	10	16	15	19	7	9	13	17	4	14	1	1	13	16	10	17	17	10	7	17	10	17	6	8	18	20	14	16	15	1	10	2	1	3	5	2	8	1	12
57500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.546151692358769	0.000182482303893	0.000048577058903	0.266201477438907	0.122093830787982	0.000000000000000	0.000000000000000	5	3	3	1	-5	4	-5	-5	17	-3	-4	5	5	4	2	3	5	-1	17	11	10	5	7	5	2	8	15	-4	4	0	10	-6	4	-5	2	4	-2	9	7	1	17	10	-6	10	14	8	10	3	-2	-1	2	2	17	-3	14	5	-3	6	4	-2	2	1	-4	0	-3	0	-6	2	-5	4	1	2	8	0	-3	9	10	2	9	7	-5	14	16	-5	12	0	16	-4	0	-1	5	7	3	4	-3	6	-2	-1	-3	-6	11	9	-1	7	2	4	26	-4	4	23	5	0	3	-1	34	12	48	79	100	0	36	0	1	93	21	22	63	21	111	81	74	41	94	101	90	83	45	26	23	107	25	58	16	102	72	26	11	5	11	87	8	46	63	97	111	103	37	36	85	21	96	22	20	45	41	77	114	108	52	95	81	40	82	16	98	98	7	26	2	68	49	107	11	52	100	63	107	42	38	77	56	52	50	48	68	68	50	106	106	64	17	101	12	82	104	66	6	4	18	72	52	105	111	80	30	51	26	61	5	36	35	70	0	104	18	0	64	102	96	116	0	43	4	4	3	1	7	1	9	10	9	1	8	5	1	13	5	3	5	11	1	4	13	6	6	15	13	6	14	3	1	3	14	3	2	8	8	8	2	2	15	10	9	12	12	10	8	13	13	13	3	3	9	5	17	9	8	6	8	8	12	10	7	13	8	17	13	12	10	13	12	17	15	12	16	9	16	4	14	7	16	15	19	10	6	13	17	12	10	7	11	13	16	6	17	17	6	1	17	13	17	11	3	18	20	14	16	5	1	5	12	1	12	2	12	14	1	12
58000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.524957861833681	0.000179307587787	0.000049920771427	0.278408582946883	0.114642945448113	0.000000000000000	0.000000000000000	-6	0	0	4	-4	3	3	3	-1	8	-4	13	-3	15	1	5	-6	5	-4	10	2	4	3	-6	3	-6	4	15	7	2	0	3	11	14	3	9	9	5	4	-5	-4	5	4	-4	5	-5	-2	9	-2	6	9	7	1	-3	-1	0	-1	7	-2	9	1	3	12	3	7	9	1	-4	13	1	20	14	-3	10	-3	5	-6	0	-1	6	5	8	1	10	15	1	-3	-6	1	2	16	4	4	5	-1	7	-3	-3	1	9	-3	7	10	1	-1	3	23	0	-6	0	14	15	6	3	28	-4	86	6	16	0	99	0	11	95	56	35	31	44	22	76	21	23	13	90	101	20	24	68	35	56	47	48	28	49	68	2	97	89	107	19	71	56	7	96	45	111	75	40	13	93	101	32	73	36	49	99	62	70	12	114	27	27	107	71	96	51	18	67	103	54	50	110	105	44	35	1	76	84	95	38	25	35	22	13	9	3	66	61	10	17	98	32	76	17	87	95	6	83	107	93	114	49	2	34	95	19	94	48	8	53	22	69	0	109	5	0	7	97	13	39	0	73	1	5	7	1	5	1	5	2	6	1	2	1	9	13	2	6	4	4	1	8	11	6	8	15	13	4	14	2	1	12	14	4	7	3	11	5	7	7	15	11	7	8	6	9	3	13	13	13	5	11	12	8	17	11	5	12	2	1	12	12	2	13	6	17	7	12	2	14	6	17	15	5	16	7	16	6	12	10	16	15	19	10	2	13	17	11	8	5	6	13	16	14	17	17	12	3	17	13	17	6	12	18	20	14	16	17	1	10	7	1	6	6	2	14	1	15
58500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.503832003366824	0.000195961173655	0.000057221496335	0.292004254044673	0.114783298565090	0.000000000000000	0.000000000000000	-4	7	3	4	2	3	3	1	-4	-2	-4	10	17	19	7	-2	0	5	2	1	4	1	2	4	1	4	1	8	4	0	2	-6	2	3	6	-2	8	8	-2	7	-4	-2	-1	-5	18	-2	12	4	-5	-1	-3	5	4	2	2	-1	4	15	-6	0	1	10	3	5	-5	-1	3	17	6	8	-6	-3	3	5	12	21	10	0	0	2	1	-6	5	-3	11	1	20	-6	2	4	-2	-4	5	2	-4	3	5	10	2	8	14	-1	17	10	0	0	19	1	-5	1	5	4	-2	-3	17	1	60	78	56	0	10	0	3	10	17	13	24	20	88	37	7	14	53	62	1	69	15	110	37	31	8	11	65	105	1	22	59	2	28	29	112	74	28	82	24	51	19	14	62	40	2	31	59	65	23	84	43	5	78	34	86	45	9	105	12	116	112	23	12	5	4	55	68	29	21	69	30	25	19	9	44	55	91	99	36	35	67	107	57	62	113	92	85	43	37	42	91	27	75	85	60	53	44	107	84	60	107	103	98	71	9	3	0	59	11	0	51	10	72	20	0	110	1	6	3	1	2	1	1	11	8	2	1	4	3	13	7	2	5	7	10	9	1	1	7	15	13	5	14	11	1	9	3	14	8	10	2	8	5	6	15	3	6	9	1	10	5	4	9	13	1	11	12	11	17	7	14	7	12	3	12	4	14	13	12	17	3	10	9	14	12	17	15	8	16	7	16	2	2	9	16	15	19	6	5	5	17	5	7	9	12	13	1	8	17	17	6	1	17	13	17	11	11	18	20	14	16	17	1	5	3	1	10	2	5	14	1	15
59000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.520702685666860	0.000177267926227	0.000049816263448	0.281022430333421	0.131171956284238	0.000000000000000	0.000000000000000	-5	0	2	1	0	4	-6	-5	-4	-2	9	-2	2	-1	-3	15	12	-6	12	-5	3	12	-3	7	-3	-5	-3	-3	6	-3	2	4	3	3	-4	12	-6	-5	13	8	1	12	-2	-2	-1	2	3	2	1	-1	-5	-3	-2	-3	5	-3	0	19	10	4	-2	1	11	-3	-1	13	-3	10	7	-4	4	1	2	-1	7	-2	2	11	10	-2	9	6	-3	5	-2	6	6	10	8	12	7	1	12	-5	-1	13	-2	-4	-6	0	3	-5	-6	-2	3	-6	-1	5	5	0	-2	-4	-6	-6	19	-2	20	65	6	0	113	0	78	102	16	29	25	21	77	5	40	90	7	94	29	51	79	26	28	102	12	28	55	7	26	109	101	70	46	93	23	102	91	61	26	37	48	19	70	19	54	68	21	15	21	94	40	94	104	54	2	106	43	98	31	21	47	24	18	71	107	98	89	95	112	50	9	18	13	10	86	74	1	59	111	104	17	108	109	47	50	107	77	86	104	112	44	93	90	13	95	102	91	110	49	35	36	105	15	76	33	2	0	85	56	0	78	84	30	102	0	38	2	5	1	1	4	1	2	4	5	6	8	1	7	13	8	5	7	11	6	10	7	1	4	15	13	13	14	14	5	12	1	14	9	7	1	11	11	8	2	12	8	3	4	13	10	10	9	13	7	13	8	2	17	3	5	8	6	6	12	7	14	13	10	17	7	2	8	14	12	17	15	9	16	4	16	6	4	10	16	15	19	3	13	2	17	13	1	4	12	5	8	7	17	17	2	1	17	13	17	11	6	18	20	14	16	17	1	5	9	1	7	11	7	18	1	15
59500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.505502292642449	0.000171769536222	0.000049962564635	0.290869764999006	0.100646377228100	0.000000000000000	0.000000000000000	7	3	-6	-5	2	-1	0	-6	3	-4	0	6	3	0	1	-5	5	10	6	7	-2	6	-4	-5	13	-1	1	4	5	-1	-3	2	-3	8	12	-4	4	-3	11	1	-1	-4	6	-5	-6	7	1	0	8	5	-2	5	-4	-4	0	3	-4	-6	9	-6	-3	9	9	4	12	-5	-1	1	-3	10	-3	3	6	3	0	11	9	-5	7	6	3	1	2	-5	-2	-6	-1	7	-1	5	-4	6	24	1	-3	-2	3	-2	5	4	-2	0	9	12	-1	0	6	5	9	-2	-6	9	-6	-2	5	0	104	116	12	0	60	0	96	62	35	30	102	9	112	88	14	78	30	64	98	100	51	83	7	27	105	19	4	56	33	107	60	55	1	27	55	108	98	6	66	7	73	5	5	72	107	86	44	67	3	14	58	8	83	64	56	86	44	31	55	84	70	78	89	80	84	68	88	105	60	104	73	100	58	63	67	13	89	90	33	32	99	80	95	110	92	11	107	39	111	116	40	43	93	72	18	28	114	26	87	82	77	58	88	43	20	96	0	66	73	0	33	78	88	12	0	1	2	5	1	1	6	1	7	2	9	4	2	9	10	13	11	12	3	11	9	8	1	9	4	15	14	10	14	14	6	12	5	14	3	2	7	5	6	7	8	6	5	13	1	13	4	1	7	13	11	2	2	5	17	8	5	4	10	13	7	4	14	1	6	17	1	1	7	14	9	17	15	10	16	5	16	8	11	14	16	12	19	1	13	12	17	13	9	7	7	11	1	5	17	17	1	3	17	5	17	13	3	18	20	14	16	17	1	10	5	1	10	6	12	18	1	15
60000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.517466818166535	0.000200983762953	0.000056888494714	0.283050202058937	0.135787261526847	0.000000000000000	0.000000000000000	2	-3	-4	-4	3	8	1	8	0	1	12	-3	-2	2	-6	14	5	-2	3	-4	-3	5	1	1	3	-1	-1	12	1	4	-2	-2	2	-6	16	-5	-1	-2	0	8	0	-3	0	12	-3	-6	1	-3	1	-1	10	1	8	5	2	1	8	-3	2	1	1	4	11	0	5	-4	1	-3	-6	-3	3	6	-6	10	11	8	12	17	-1	-5	1	0	-6	-1	3	0	-6	6	-1	1	11	-2	25	17	-6	2	1	4	2	-1	-6	2	-1	10	1	11	11	-2	5	-6	-5	15	9	7	-2	8	68	39	44	0	31	0	3	10	68	59	114	17	31	54	45	92	6	105	15	47	96	113	82	96	78	45	103	37	51	69	94	62	60	76	102	65	42	99	9	103	20	51	87	78	5	30	47	111	82	69	92	99	49	83	51	60	60	49	8	45	24	44	63	39	42	49	22	56	45	85	32	24	11	116	17	82	52	88	63	66	100	41	2	106	17	107	44	3	79	23	6	62	93	62	14	14	47	90	5	45	105	63	2	77	96	97	0	112	83	0	49	52	82	94	0	4	1	1	4	1	3	1	4	1	6	9	1	9	4	13	8	12	4	7	8	11	11	11	11	15	14	5	10	14	1	9	5	14	6	4	2	8	2	3	5	1	6	13	5	3	1	5	5	5	8	2	2	12	17	9	13	6	10	8	11	12	14	10	4	17	11	8	3	14	3	17	15	10	16	9	16	5	5	1	16	12	19	2	13	2	17	11	8	1	8	11	2	6	17	17	2	8	17	7	17	13	7	18	20	14	16	17	1	6	2	1	10	7	1	18	1	15
